ID;Subject_ID;Hierarchy_Level;School Code;Tests Taken;Score=1;Score=2;Score=3;Score=4;Score=5;% Score 1-2;% Score 3-5
225;0;0;08530605;     136;      82;      31;      18;       3;       2;  83,1;  16,9
226;0;0;08510605;      49;      23;      15;       3;       8;       0;  77,6;  22,4
227;0;0;02180505;     338;      27;      71;     115;      85;      40;  29,0;  71,0
228;0;0;02190505;     433;      20;      67;     131;     125;      90;  20,1;  79,9
229;0;0;02200505;     527;      87;     148;     172;      85;      35;  44,6;  55,4
230;0;0;08550605;      97;      11;      38;      28;      17;       3;  50,5;  49,5
231;0;0;07400505;     332;      53;      62;     104;      72;      41;  34,6;  65,4
232;0;0;02260505;      78;      16;      32;      14;       9;       7;  61,5;  38,5
233;0;0;02270505;     103;      26;      30;      20;      25;       2;  54,4;  45,6
234;0;0;08600605;     136;      68;      44;      19;       5;       0;  82,4;  17,6
235;0;0;35010505;      10;       9;       1;       0;       0;       0; 100,0;    ,0
236;0;0;02290510;     564;      56;     141;     178;     137;      52;  34,9;  65,1
237;0;0;02310505;     428;      53;      96;     130;      81;      68;  34,8;  65,2
238;0;0;07450505;     297;      30;      44;      87;      97;      39;  24,9;  75,1
239;0;0;04940205;     123;      19;      30;      36;      26;      12;  39,8;  60,2
240;0;0;35060505;     161;      16;      25;      56;      44;      20;  25,5;  74,5
241;0;0;07500505;      48;      16;      13;       8;       7;       4;  60,4;  39,6
242;0;0;04790505;       8;;;;;;;
243;0;0;02360505;     344;      72;      97;      99;      51;      25;  49,1;  50,9
244;0;0;02360510;     184;      62;      59;      42;      16;       5;  65,8;  34,2
245;0;0;02390505;     367;      30;      79;     110;      93;      55;  29,7;  70,3
246;0;0;02390515;     428;      64;      99;     124;      88;      53;  38,1;  61,9
247;0;0;04870550;     142;      71;      30;      23;      14;       4;  71,1;  28,9
248;0;0;07530505;     122;      18;      30;      39;      20;      15;  39,3;  60,7
249;0;0;07780505;     207;      22;      47;      68;      44;      26;  33,3;  66,7
250;0;0;02430510;     739;      91;     101;     213;     200;     134;  26,0;  74,0
251;0;0;02430505;     461;      76;     116;     107;     104;      58;  41,6;  58,4
252;0;0;07550505;      55;      12;      11;      15;      12;       5;  41,8;  58,2
253;0;0;02440505;     168;      79;      39;      36;       9;       5;  70,2;  29,8
254;0;0;02460505;     616;      98;     134;     157;     129;      98;  37,7;  62,3
255;0;0;02480505;     639;     189;     169;     129;      86;      66;  56,0;  44,0
256;0;0;04830305;      34;       8;      12;       9;       4;       1;  58,8;  41,2
257;0;0;02510505;     232;      41;      85;      69;      24;      13;  54,3;  45,7
258;0;0;02520510;     159;      25;      57;      46;      23;       8;  51,6;  48,4
259;0;0;04840505;     876;     443;     264;     140;      27;       2;  80,7;  19,3
260;0;0;02580505;     207;      68;      43;      44;      39;      13;  53,6;  46,4
261;0;0;04850485;     333;     120;      93;      66;      42;      12;  64,0;  36,0
262;0;0;02610505;     367;      40;      67;     106;     102;      52;  29,2;  70,8
263;0;0;02620505;     270;      86;      67;      59;      41;      17;  56,7;  43,3
264;0;0;02640505;     585;      61;     124;     182;     145;      73;  31,6;  68,4
265;0;0;02650505;     249;      64;      64;      58;      39;      24;  51,4;  48,6
266;0;0;02660505;     800;      20;      52;     163;     228;     337;   9,0;  91,0
267;0;0;02710505;     909;      35;     110;     198;     285;     281;  16,0;  84,0
268;0;0;07600505;     431;      46;      96;     130;      99;      60;  32,9;  67,1
269;0;0;04740505;      18;       5;       5;       3;       3;       2;  55,6;  44,4
270;0;0;07630505;     465;      39;      76;     139;     149;      62;  24,7;  75,3
271;0;0;02740505;     605;     106;     134;     136;     123;     106;  39,7;  60,3
272;0;0;02780505;     158;       8;      22;      41;      52;      35;  19,0;  81,0
273;0;0;08290605;     113;      28;      32;      31;      10;      12;  53,1;  46,9
274;0;0;04880550;     145;      26;      46;      30;      27;      16;  49,7;  50,3
275;0;0;08730605;       8;;;;;;;
276;0;0;02770515;      59;      22;      21;      10;       3;       3;  72,9;  27,1
